OTUID	SDF1	SDF10	SDF11	SDF12	SDF13	SDF14	SDF15	SDF16	SDF17	SDF18	SDF19	SDF2	SDF20	SDF3	SDF4	SDF5	SDF6	SDF7	SDF8	SDF9	SDFP10A	SDFP10B	SDFP11A	SDFP11B	SDFP12A	SDFP12B	SDFP13A	SDFP13B	SDFP14A	SDFP14B	SDFP15A	SDFP15B	SDFP16A	SDFP16B	SDFP17A	SDFP17B	SDFP18A	SDFP18B	SDFP19A	SDFP19B	SDFP1A	SDFP1B	SDFP20A	SDFP20B	SDFP2A	SDFP2B	SDFP3A	SDFP3B	SDFP4A	SDFP4B	SDFP5A	SDFP5B	SDFP6A	SDFP6B	SDFP7A	SDFP7B	SDFP8A	SDFP8B	SDFP9A	SDFP9B
0fca1a29189c96bbb41c46f7cadef2fd	11.0	30.0	17.0	16.0	184.0	0.0	0.0	146.0	30.0	0.0	73.0	122.0	51.0	0.0	0.0	0.0	80.0	11.0	0.0	103.0	0.0	37.0	218.0	73.0	12.0	11.0	60.0	18.0	0.0	48.0	183.0	177.0	80.0	180.0	69.0	0.0	0.0	0.0	121.0	14.0	23.0	28.0	19.0	185.0	142.0	530.0	0.0	0.0	0.0	0.0	20.0	0.0	18.0	45.0	0.0	56.0	0.0	0.0	342.0	94.0
78459acb12110ccd4ab788f40a11e9f3	18.0	22.0	9.0	7.0	30.0	11.0	4.0	24.0	10.0	260.0	15.0	11.0	148.0	14.0	9.0	8.0	107.0	7.0	5.0	14.0	23.0	34.0	0.0	0.0	21.0	21.0	21.0	37.0	71.0	260.0	110.0	46.0	111.0	23.0	122.0	30.0	349.0	252.0	109.0	14.0	123.0	145.0	70.0	89.0	0.0	0.0	32.0	56.0	17.0	83.0	68.0	43.0	113.0	57.0	25.0	121.0	34.0	34.0	18.0	60.0
b5a57862dbcc411be89382860f0f388b	57.0	91.0	80.0	101.0	167.0	57.0	80.0	69.0	28.0	225.0	128.0	71.0	274.0	101.0	108.0	78.0	58.0	47.0	89.0	163.0	42.0	154.0	88.0	22.0	12.0	13.0	27.0	38.0	15.0	24.0	45.0	10.0	60.0	20.0	22.0	8.0	0.0	30.0	34.0	34.0	38.0	31.0	36.0	12.0	17.0	18.0	43.0	44.0	52.0	36.0	18.0	9.0	27.0	8.0	43.0	9.0	47.0	17.0	72.0	60.0
a67c43aef7d7862e91f3cdbbfb74f55e	310.0	187.0	244.0	188.0	80.0	95.0	163.0	131.0	244.0	28.0	18.0	13.0	24.0	36.0	210.0	132.0	51.0	313.0	169.0	439.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	16.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	17.0	12.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	24.0
abd87b4fab5fff5b0766dcedadc5e101	50.0	71.0	56.0	76.0	177.0	43.0	60.0	67.0	22.0	213.0	77.0	64.0	275.0	58.0	140.0	77.0	64.0	46.0	88.0	161.0	37.0	151.0	97.0	17.0	17.0	10.0	25.0	52.0	17.0	17.0	50.0	8.0	55.0	20.0	22.0	11.0	8.0	47.0	22.0	29.0	40.0	34.0	23.0	10.0	16.0	34.0	62.0	40.0	36.0	37.0	25.0	17.0	17.0	12.0	34.0	4.0	70.0	11.0	79.0	54.0
1f3316eeb3515896258db6552b3847ff	283.0	166.0	259.0	205.0	54.0	73.0	162.0	141.0	217.0	26.0	21.0	13.0	29.0	46.0	211.0	138.0	59.0	311.0	163.0	429.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	14.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	7.0	12.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	13.0
63b9293fa7bcff94af0b865947fdd1e2	0.0	53.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	38.0	34.0	0.0	93.0	0.0	0.0	12.0	0.0	0.0	0.0	52.0	179.0	0.0	70.0	34.0	61.0	117.0	51.0	56.0	29.0	149.0	10.0	30.0	34.0	53.0	136.0	0.0	0.0	211.0	18.0	30.0	31.0	0.0	0.0	188.0	246.0	143.0	34.0	0.0	0.0	0.0	0.0	20.0	30.0	311.0	98.0	67.0	0.0	131.0	10.0
88286b80fadbc5732691bc1abd772563	270.0	36.0	38.0	169.0	61.0	33.0	51.0	106.0	24.0	51.0	44.0	24.0	66.0	40.0	34.0	53.0	78.0	82.0	84.0	134.0	0.0	59.0	30.0	29.0	28.0	25.0	48.0	47.0	21.0	40.0	41.0	27.0	36.0	67.0	61.0	0.0	0.0	82.0	51.0	0.0	35.0	34.0	0.0	29.0	27.0	56.0	57.0	49.0	86.0	0.0	16.0	66.0	32.0	0.0	36.0	18.0	43.0	93.0	9.0	0.0
901afb2513247afcb22fa913e4d14e77	270.0	35.0	82.0	80.0	55.0	0.0	31.0	173.0	0.0	70.0	112.0	36.0	258.0	234.0	114.0	37.0	102.0	39.0	72.0	29.0	0.0	72.0	32.0	32.0	38.0	22.0	4.0	0.0	0.0	56.0	0.0	0.0	38.0	56.0	12.0	0.0	85.0	0.0	42.0	0.0	0.0	0.0	0.0	51.0	50.0	44.0	0.0	0.0	0.0	0.0	0.0	55.0	78.0	81.0	0.0	0.0	0.0	0.0	70.0	65.0
cf2d35ad61e26271f40cb9514c345102	54.0	40.0	0.0	43.0	40.0	0.0	0.0	91.0	0.0	32.0	24.0	33.0	0.0	68.0	29.0	42.0	72.0	41.0	0.0	56.0	0.0	78.0	26.0	42.0	48.0	62.0	29.0	34.0	0.0	0.0	31.0	68.0	48.0	30.0	44.0	43.0	0.0	15.0	41.0	22.0	49.0	74.0	45.0	84.0	88.0	65.0	127.0	76.0	59.0	62.0	36.0	44.0	189.0	136.0	84.0	41.0	65.0	55.0	47.0	45.0
